value;name;description;targetType;url_prefix;pattern;
Anbieter_Produkt_ID;Provider_Product_ID;Provider Product ID distinct internal ID of the provider for their own packages;Package;;;
isil;ISIL (ZDB product identifier);ZDB product identifier for complete or partial packages, assigned by the ISIL agency;Package;info:isil/;^(?=[0-9A-Z-]{4,16}\$)[A-Z]{1,4}-[A-Z0-9]{1,11}(-[A-Z0-9]+)?\$;
title_id;Title-ID;proprietary, unique identifier of a title on a provider platform;TitleInstancePackagePlatform;;;
doi;DOI;A digital object identifier refers to an identifier for physical, digital or abstract objects that is as unique and permanent as possible;TitleInstancePackagePlatform;https://doi.org/;^(?:https?://(?:dx\.)?doi\.org/)?10\.\d{4,9}/\S+$;
eisbn;eISBN;International standard book number, here for electronic version;TitleInstancePackagePlatform;https://isbnsearch.org/isbn/;;
eissn;eISSN;International standard book number, here for electronic version;TitleInstancePackagePlatform;https://portal.issn.org/resource/ISSN/;;
issn;pISSN;International Standard Serial Number, here for the print version;TitleInstancePackagePlatform;https://portal.issn.org/resource/ISSN/;;
isbn;pISBN;International Standard Serial Number, here for the print version;TitleInstancePackagePlatform;https://isbnsearch.org/isbn/;;
dbpedia;DBpedia-ID;Identifier for an entry in DBpedia (https://dbpedia.org/);Org;https://dbpedia.org/resource/;;
gnd-id;GND-ID;Unique and stable identifier for your institution in the GND (Integrated Authority File);Org;https://d-nb.info/gnd/;^(?:https?://d-nb\.info/gnd/)?[0-9Xx-]{7,12}$;
isni;ISNI;International Standard Name Identifier, serves as a unique identifier for creative individuals or organizations, regardless of name variations or spellings;Org;https://isni.org/isni/;;
ror id;ROR-ID;Identifier of your institution in the Research Organization Registry (ROR);Org;https://ido.ringgold.com/search/results?simple=;^(?:https?://ror\.org/)?0[a-hj-km-np-tv-z0-9]{6}\d{2}$;
viaf;VIAF-ID;unique global identifier within the Virtual International Authority File (Virtual International Authority File), serves to link the various national authority files of libraries and research institutions worldwide;Org;https://viaf.org/viaf/;^(?:https?://viaf\.org/viaf/)?\d{1,22}$;
wikidata id;Wikidata-ID ;Unique identifier for your institution which is assigned to the the element in the Wikidata database;Org;https://www.wikidata.org/wiki/;^(?:https?://www\.wikidata\.org/wiki/)?Q\d+$;
VAT;VAT;International denominator for Valued Added Tax identifier. For unique identification of your institution in tax legislation sense;Org;;;
Ringgold-ID;Ringgold-ID;International identifier for organisations in the field of scientific communication and publishing in the Ringgold Identify Database;Org;;;
dbpedia;DBpedia-ID;Identifier for an entry in DBpedia (https://dbpedia.org/);Vendor;https://dbpedia.org/resource/;;
gnd-id;GND-ID;Unique and stable identifier for your institution in the GND (Integrated Authority File);Vendor;https://d-nb.info/gnd/;^(?:https?://d-nb\.info/gnd/)?[0-9Xx-]{7,12}$;
isni;ISNI;International Standard Name Identifier, serves as a unique identifier for creative individuals or organizations, regardless of name variations or spellings;Vendor;https://isni.org/isni/;?:https?://isni\.org/isni/)?(?:\d{15}[\dXx])$;
ror id;ROR-ID;Identifier of your institution in the Research Organization Registry (ROR);Vendor;https://ido.ringgold.com/search/results?simple=;^(?:https?://ror\.org/)?0[a-hj-km-np-tv-z0-9]{6}\d{2}$;
viaf;VIAF-ID; unique global identifier within the Virtual International Authority File (Virtual International Authority File), serves to link the various national authority files of libraries and research institutions worldwide;Vendor;https://viaf.org/viaf/;^(?:https?://viaf\.org/viaf/)?\d{1,22}$;
wikidata id;Wikidata-ID ;Unique identifier for your institution which is assigned to the the element in the Wikidata database;Vendor;https://www.wikidata.org/wiki/;^(?:https?://www\.wikidata\.org/wiki/)?Q\d+$;
VAT;VAT;International denominator for Valued Added Tax identifier. For unique identification of your institution in tax legislation sense;Vendor;;;
Ringgold-ID;Ringgold-ID;International identifier for organisations in the field of scientific communication and publishing in the Ringgold Identify Database;Vendor;;;